Fault,Recovery Median (min),Recovery IQR (min),InRange Median (%),InRange IQR (%),IAE Median,IAE IQR,ISE Median,ISE IQR,Control Burden Median,Control Burden IQR,Settled within 4h (%)
4,5.999999999999979,5.999999999999979,90.0,6.875,0.041807773167647264,0.005356199735825483,0.0021954148057475075,0.0006172923784858735,7.440086050181526,0.40693775596732706,100.0
14,19.50000000000001,45.00000000000003,8.75,4.375,0.42914317145720204,0.023588529474687314,0.11900810173334622,0.014635897859320263,12.126436214788626,0.7448169535216937,0.0
