Sigma,Fault,Seed,Recovery_min,InRange_%,Settling_min,Settled_4h
2,4,117,5.999999999999979,90.0,33.00000000000004,1
3,4,117,5.999999999999979,97.5,5.999999999999979,1
1,4,118,11.999999999999957,52.5,,0
2,4,118,5.999999999999979,92.5,11.999999999999957,1
3,4,118,5.999999999999979,97.5,5.999999999999979,1
1,4,119,33.00000000000004,47.5,,0
2,4,119,15.0,72.5,54.00000000000002,1
3,4,119,11.999999999999957,90.0,26.999999999999957,1
1,4,120,5.999999999999979,60.0,54.00000000000002,1
2,4,120,5.999999999999979,82.5,50.99999999999998,1
3,4,120,5.999999999999979,97.5,5.999999999999979,1
1,4,121,11.999999999999957,70.0,69.00000000000003,1
2,4,121,11.999999999999957,90.0,11.999999999999957,1
3,4,121,5.999999999999979,97.5,5.999999999999979,1
1,4,122,5.999999999999979,67.5,,0
2,4,122,5.999999999999979,85.0,63.00000000000004,1
3,4,122,5.999999999999979,92.5,5.999999999999979,1
1,4,123,18.000000000000043,35.0,,0
2,4,123,5.999999999999979,90.0,33.00000000000004,1
3,4,123,5.999999999999979,95.0,11.999999999999957,1
1,4,124,18.000000000000043,62.5,,0
2,4,124,15.0,87.5,33.00000000000004,1
3,4,124,9.000000000000021,95.0,9.000000000000021,1
1,4,125,5.999999999999979,57.49999999999999,125.99999999999997,1
2,4,125,5.999999999999979,82.5,80.99999999999997,1
3,4,125,5.999999999999979,97.5,5.999999999999979,1
1,4,126,15.0,65.0,135.0,1
2,4,126,11.999999999999957,90.0,39.00000000000002,1
3,4,126,5.999999999999979,97.5,5.999999999999979,1
1,4,127,9.000000000000021,50.0,,0
2,4,127,5.999999999999979,90.0,71.99999999999996,1
3,4,127,5.999999999999979,97.5,5.999999999999979,1
1,4,128,5.999999999999979,65.0,123.00000000000004,1
2,4,128,5.999999999999979,97.5,5.999999999999979,1
3,4,128,5.999999999999979,97.5,5.999999999999979,1
1,4,129,5.999999999999979,52.5,116.99999999999996,1
2,4,129,5.999999999999979,90.0,56.99999999999996,1
3,4,129,5.999999999999979,95.0,11.999999999999957,1
1,4,130,15.0,70.0,,0
2,4,130,11.999999999999957,92.5,11.999999999999957,1
3,4,130,5.999999999999979,97.5,5.999999999999979,1
1,14,101,125.99999999999997,2.5,,0
2,14,101,63.00000000000004,7.5,,0
3,14,101,15.0,10.0,,0
1,14,102,54.00000000000002,7.5,,0
2,14,102,54.00000000000002,7.5,,0
3,14,102,54.00000000000002,10.0,,0
1,14,103,129.00000000000003,0.0,,0
2,14,103,35.99999999999998,10.0,,0
3,14,103,11.999999999999957,15.0,,0
