Fault,Seed,Recovery_min,Settling_min,Settled_4h,InRange_%,IAE,ISE,Control_Burden,IAE_Ratio,ISE_Ratio,Control_Ratio,Shutdown
4,101,9.000000000000021,9.000000000000021,1,90.0,0.03824931321501026,0.002153020958352358,7.0811425518337,1.46422210362009,3.9642160924782384,8.883789183971274,False
4,102,11.999999999999957,11.999999999999957,1,82.5,0.0406267149392086,0.0017378469141668463,7.3871654847603505,1.5482704342380984,3.062482310837365,9.172397505180818,False
4,103,5.999999999999979,33.00000000000004,1,90.0,0.039764532488030115,0.0019628176988635056,7.439331457889493,1.4006347423314813,3.108624740772354,8.411085033851247,False
4,104,15.0,15.0,1,85.0,0.047953294068125984,0.0025722761689779845,7.887485562048591,1.574465250097855,3.458915740473771,9.935585203312836,False
4,105,5.999999999999979,15.0,1,92.5,0.040822269768757025,0.002172248034396492,7.771501318249285,1.487411172603706,3.662162283501359,9.039368073191342,False
4,106,11.999999999999957,11.999999999999957,1,90.0,0.03742966390427967,0.0018251856776664546,7.214019786292136,1.1270482164463584,2.17731577120309,7.869130415044963,False
4,107,11.999999999999957,11.999999999999957,1,92.5,0.04313036803668453,0.0023699045820171267,7.714918726973135,1.5203816966180819,3.7830544572093867,9.127841375706039,False
4,108,5.999999999999979,18.000000000000043,1,92.5,0.04182718415042786,0.001929265450527404,7.163713029766588,1.319207496728687,2.370374380287891,8.111732846689916,False
4,109,5.999999999999979,39.00000000000002,1,92.5,0.03951807068776532,0.0019474900779436525,7.233838220851716,1.1656008793306323,2.1724085837862424,7.683662518549386,False
4,110,9.000000000000021,9.000000000000021,1,95.0,0.034652286047246156,0.0016878127982958046,7.43957579311631,1.0895520933270428,2.1101521475633103,8.31677752261215,False
4,111,5.999999999999979,5.999999999999979,1,95.0,0.04007211136102456,0.0022198499752026897,7.319031603154368,1.5478564560832697,3.9772930260293213,8.503301844182888,False
4,112,5.999999999999979,11.999999999999957,1,92.5,0.038562860905581434,0.0020656577769263902,7.547096409554096,1.2132998553439713,2.674497656963214,7.890288013897873,False
4,113,5.999999999999979,48.00000000000004,1,85.0,0.049686537610453746,0.0027566654240256385,7.720540850373782,1.4537070347565026,2.754509737825486,7.870333036394067,False
4,114,9.000000000000021,9.000000000000021,1,87.5,0.04474539971043541,0.002605837939941509,7.668136551466156,1.4290050905244545,3.6501512061627315,8.602836796557568,False
4,115,9.000000000000021,9.000000000000021,1,87.5,0.042087067781315574,0.002218581577098523,7.668506291527285,1.3683520505959914,3.18642855084129,9.784215027816337,False
4,116,15.0,45.0,1,82.5,0.044999381261397534,0.0026470181937346066,7.647398577103156,1.6461478165450083,4.353491057200623,8.83970520708544,False
4,117,5.999999999999979,33.00000000000004,1,90.0,0.04111637714405135,0.0019052066896995568,7.180989607415706,1.4280027665119626,2.778441255263155,8.468953208594751,False
4,118,5.999999999999979,11.999999999999957,1,92.5,0.04531504291581001,0.002701820026343166,7.353666806014093,1.548798373092455,3.805388011458248,9.036993257795812,False
4,119,15.0,54.00000000000002,1,72.5,0.05152141949560374,0.0036482077339021848,7.783821181590631,1.7995851502804443,5.822764188245285,8.905209648200424,False
4,120,5.999999999999979,50.99999999999998,1,82.5,0.046806457369589084,0.002765756870959722,7.905654098507997,1.5794905077083767,3.9632676974565935,8.581084223096177,False
4,121,11.999999999999957,11.999999999999957,1,90.0,0.037526982578345525,0.002382155853957311,7.471675703211573,1.233616102190225,3.2672386679782695,9.006947758860676,False
4,122,5.999999999999979,63.00000000000004,1,85.0,0.03797695279443829,0.0019365044412138536,7.319977103657386,1.3796811018817723,3.2335270982696276,8.648327752531799,False
4,123,5.999999999999979,33.00000000000004,1,90.0,0.04436129514702358,0.002304123027152562,7.440596307246741,1.9821999861334825,5.444020399457494,10.623165465747933,False
4,124,15.0,33.00000000000004,1,87.5,0.04653283014676149,0.003084543574542293,7.875317711970655,1.3413741893077549,3.38264186567076,8.428664031204587,False
4,125,5.999999999999979,80.99999999999997,1,82.5,0.047015562278192397,0.0023856711450530805,7.747995323797721,1.637949333942904,3.6720931738220397,9.862791369912314,False
4,126,11.999999999999957,39.00000000000002,1,90.0,0.04178836218486666,0.002509344408594754,7.166188826511007,1.2545228929614745,2.9230198855529803,8.096241445537414,False
4,127,5.999999999999979,71.99999999999996,1,90.0,0.03991832702083329,0.0015241563176502282,7.509132569328691,1.4401319982487601,2.431660329594558,8.550305776734994,False
4,128,5.999999999999979,5.999999999999979,1,97.5,0.04284179681200797,0.0020755450728127903,7.1293413413888445,1.227482578873308,2.1309918285996217,7.801677041590603,False
4,129,5.999999999999979,56.99999999999996,1,90.0,0.04338313157206528,0.0017454835830666815,7.288826615141003,1.481826148182092,2.4927468301832976,8.142684669526766,False
4,130,11.999999999999957,11.999999999999957,1,92.5,0.03818597552125383,0.0020330398524941,7.412996205726325,1.1257377435711784,2.3239958204709206,7.993379456275832,False
14,101,63.00000000000004,,0,7.5,0.4090160519082993,0.10758848025068081,11.858198625172648,15.65754502761974,198.09560288786815,14.876940538418049,False
14,102,54.00000000000002,,0,7.5,0.43164887440280425,0.11922655272087417,12.066222353372249,16.44999334083581,210.10435712908858,14.982226679414792,False
14,103,35.99999999999998,,0,10.0,0.43171453253465875,0.11919116763816649,12.731637968168702,15.206374505206524,188.7697532053462,14.394692611378304,False
14,104,5.999999999999979,,0,15.0,0.3902178271770559,0.10137281131807678,11.167797524544463,12.812141914299467,136.3150726010456,14.06767758439342,False
14,105,18.000000000000043,,0,7.5,0.440055734077184,0.12576913302540998,12.783564948501809,16.03398877971451,212.03240518630963,14.869115261642488,False
14,106,41.99999999999996,,0,10.0,0.43029086940589495,0.12090798047794654,12.484431100848779,12.956529830384536,144.23455979313084,13.61815179338684,False
14,107,33.00000000000004,,0,7.5,0.41747556761003046,0.11276816498631886,12.033604521413569,14.716364377871107,180.01066896107386,14.237458246373116,False
14,108,3.0000000000000426,,0,17.5,0.40806007231572755,0.11121907696788742,11.971249032307007,12.870001111682566,136.64830341095808,13.555480738517751,False
14,109,11.999999999999957,,0,10.0,0.40433413963498166,0.10646846629502923,11.953124054794515,11.925992855917432,118.76466673766019,12.696409357711891,False
14,110,15.0,,0,7.5,0.4078417405396565,0.10644484389623504,11.802955467456039,12.8235355539102,133.08040807101162,13.194644084809028,False
14,111,65.99999999999997,,0,7.5,0.44550107399973415,0.12462456112086102,12.999044338198555,17.20827004521701,223.28914266952071,15.102380162695352,False
14,112,11.999999999999957,,0,12.5,0.4615562374255766,0.1408499209866077,13.553767940561245,14.521902756973791,182.3645658394846,14.170102900657414,False
14,113,3.0000000000000426,,0,15.0,0.3837623752111974,0.10082113638950949,10.868186467619928,11.227952104314227,100.74229521767037,11.07904856143063,False
14,114,24.00000000000002,,0,7.5,0.45294858257101545,0.1304372683822805,12.731660488084222,14.465527952114003,182.71119059876767,14.28357418951115,False
14,115,80.99999999999997,,0,5.0,0.4279954735085092,0.11375826261033169,12.31111911825889,13.915164792762488,163.384830928651,15.70770526969412,False
14,116,39.00000000000002,,0,7.5,0.45751861207519867,0.13465274685344397,13.131430376650993,16.73674711039573,221.4603324758038,15.178752919261623,False
14,117,20.99999999999998,,0,5.0,0.43379022911075754,0.12055852580476151,12.093876193758742,15.065861592955093,175.81545539422788,14.263002342979378,False
14,118,5.999999999999979,,0,12.5,0.4185753491582432,0.11617001623905293,12.08886592833788,14.306260748717316,163.6200719428871,14.85612589891084,False
14,119,3.0000000000000426,,0,12.5,0.4217167752884464,0.11664505869393581,12.111272316864254,14.730091947447228,186.17269630431338,13.856101851774852,False
14,120,5.999999999999979,,0,10.0,0.4303326722586981,0.12330777219419128,12.43690175975279,14.521636739613832,176.69727788220024,13.499465084736375,False
14,121,15.0,,0,10.0,0.4140643792197822,0.10910961142163117,12.038444601028239,13.611445697306651,149.6489580615094,14.512091520887754,False
14,122,3.0000000000000426,,0,10.0,0.45469922641297844,0.13240727664864235,13.039309221784515,16.518964360250656,221.0903873698823,15.405542697703085,False
14,123,24.00000000000002,,0,5.0,0.4174101757842138,0.10833263790354687,11.943354243627294,18.651178733832726,255.9607641275925,17.05188980922468,False
14,124,69.00000000000003,,0,7.5,0.4304651939430535,0.12031370263898514,12.204570006959534,12.408763849725887,131.9411309081228,13.06210415836509,False
14,125,78.00000000000004,,0,7.5,0.42122490063935847,0.11882503582852594,12.39739789646207,14.674822803564041,182.89888941729268,15.78123680676958,False
14,126,63.00000000000004,,0,7.5,0.4246937648899312,0.11061350854731958,11.781026107275661,12.749675332941427,128.848588494739,13.310008171682805,False
14,127,93.00000000000004,,0,5.0,0.4691769721861583,0.1394830437058946,13.127125690065904,16.926480163713293,222.53320089479405,14.947257567158795,False
14,128,5.999999999999979,,0,10.0,0.45619772094158506,0.13391960391875168,13.015951366830663,13.070757919764683,137.49717381632527,14.243426438785255,False
14,129,3.0000000000000426,,0,15.0,0.40568665159934203,0.10934145185739123,12.041376655663353,13.856931635046669,156.15188831869935,13.45197770110089,False
14,130,3.0000000000000426,,0,12.5,0.43371645651404694,0.12012258342665125,12.141600112713,12.7861336116464,137.31377743787593,13.092198378883056,False
